Tick,RunF64,RunF32,RunI64,RunI32
4,0.0,0.0,0.0,0.0
8,1e-08,1e-08,1e-08,1e-08
16,1e-08,1e-08,1e-08,1e-08
32,3e-08,3e-08,3e-08,3e-08
64,5e-08,5e-08,5e-08,5e-08
128,1e-07,1e-07,9e-08,9e-08
256,2e-07,2e-07,1.6e-07,1.7e-07
512,4.2e-07,4e-07,3e-07,3.7e-07
1024,8.3e-07,8.1e-07,6e-07,6.6e-07
2048,1.68e-06,1.65e-06,1.22e-06,1.32e-06
4096,3.39e-06,3.28e-06,2.48e-06,2.64e-06
8192,6.9e-06,6.51e-06,4.92e-06,5.22e-06
16384,1.371e-05,1.313e-05,1.004e-05,1.052e-05
32768,2.735e-05,2.644e-05,2.088e-05,2.114e-05
65536,5.459e-05,5.242e-05,4.184e-05,4.247e-05
131072,0.00010672,0.00010951,8.368e-05,8.436e-05
262144,0.00021839,0.00021031,0.00017301,0.00017029
