Tick,RunF64,RunF32,RunI64,RunI32
M:1 N:1,3e-08,3e-08,5e-08,3e-08
M:2 N:1,9e-08,8e-08,8e-08,7e-08
M:2 N:2,1e-07,1.3e-07,1e-07,1.5e-07
M:3 N:1,1.1e-07,1.1e-07,1.3e-07,1.1e-07
M:3 N:2,3e-07,3.1e-07,2.5e-07,2.5e-07
M:3 N:3,3.5e-07,2.2e-07,3e-07,2.3e-07
M:4 N:1,1.7e-07,1.7e-07,1.7e-07,1.7e-07
M:4 N:2,2.8e-07,2.6e-07,2.8e-07,2.6e-07
M:4 N:3,3.9e-07,3.8e-07,3.7e-07,3.7e-07
M:4 N:4,4.8e-07,5.1e-07,4.8e-07,4.6e-07
M:5 N:1,2.6e-07,2.5e-07,2.6e-07,2.6e-07
M:5 N:2,4.4e-07,4.3e-07,4.2e-07,4.1e-07
M:5 N:3,6.1e-07,5.9e-07,5.8e-07,5.7e-07
M:5 N:4,1.08e-06,1.02e-06,7.8e-07,7.3e-07
M:5 N:5,1.2e-06,1.07e-06,9.2e-07,8.8e-07
M:6 N:1,3.8e-07,3.6e-07,3.7e-07,3.6e-07
M:6 N:2,7.7e-07,5.8e-07,5.7e-07,5.7e-07
M:6 N:3,8.5e-07,8.1e-07,1.02e-06,8.9e-07
M:6 N:4,1.08e-06,1.05e-06,1.02e-06,1.02e-06
M:6 N:5,1.34e-06,1.29e-06,1.27e-06,1.27e-06
M:6 N:6,1.55e-06,1.47e-06,1.45e-06,1.44e-06
M:7 N:1,6.3e-07,5.8e-07,6.3e-07,6e-07
M:7 N:2,1.09e-06,8.7e-07,9.6e-07,8.7e-07
M:7 N:3,1.09e-06,1.17e-06,1.07e-06,1.05e-06
M:7 N:4,1.41e-06,2.15e-06,1.71e-06,1.69e-06
M:7 N:5,1.71e-06,1.72e-06,1.75e-06,1.67e-06
M:7 N:6,2e-06,2.14e-06,2.01e-06,1.94e-06
M:7 N:7,2.3e-06,2.35e-06,2.25e-06,2.27e-06
M:8 N:1,6.1e-07,6.3e-07,6.2e-07,6.1e-07
M:8 N:2,1.06e-06,1.01e-06,1.08e-06,1e-06
M:8 N:3,1.47e-06,1.5e-06,1.4e-06,1.4e-06
M:8 N:4,2.14e-06,1.92e-06,1.78e-06,1.93e-06
M:8 N:5,2.4e-06,2.25e-06,2.22e-06,2.14e-06
M:8 N:6,2.7e-06,2.7e-06,2.57e-06,2.52e-06
M:8 N:7,3.5e-06,3.37e-06,3.01e-06,2.97e-06
M:8 N:8,3.53e-06,3.48e-06,3.42e-06,3.47e-06
M:9 N:1,7.9e-07,9.2e-07,1.06e-06,7.8e-07
M:9 N:2,1.29e-06,1.34e-06,1.25e-06,1.24e-06
M:9 N:3,1.83e-06,1.81e-06,1.89e-06,1.91e-06
M:9 N:4,2.41e-06,2.28e-06,2.41e-06,2.25e-06
