Tick,RunF64,RunF32,RunI64,RunI32
M:1 N:1,8e-07,1.96e-06,1.14e-06,6.1e-07
M:2 N:1,6.7e-07,7e-07,7e-07,7e-07
M:2 N:2,7e-07,7e-07,7.2e-07,7e-07
M:3 N:1,7e-07,7e-07,6.9e-07,7.4e-07
M:3 N:2,7.1e-07,7e-07,7.1e-07,7.1e-07
M:3 N:3,7.3e-07,7.3e-07,7.5e-07,7.5e-07
M:4 N:1,7.1e-07,7.7e-07,7.6e-07,7.9e-07
M:4 N:2,7.9e-07,8.2e-07,8.8e-07,8.8e-07
M:4 N:3,8e-07,8.3e-07,8e-07,8.5e-07
M:4 N:4,7.9e-07,8e-07,7.6e-07,7.6e-07
M:5 N:1,7.8e-07,7.9e-07,8.3e-07,8.2e-07
M:5 N:2,8e-07,8.1e-07,8.5e-07,8.6e-07
M:5 N:3,8.9e-07,8.5e-07,1.06e-06,9.4e-07
M:5 N:4,8.8e-07,8.4e-07,8.5e-07,8.7e-07
M:5 N:5,9.6e-07,9.2e-07,8.9e-07,8.9e-07
M:6 N:1,8.6e-07,8.7e-07,8.8e-07,8.9e-07
M:6 N:2,8.8e-07,8.8e-07,9.6e-07,9.4e-07
M:6 N:3,9.5e-07,1.29e-06,9.6e-07,9.4e-07
M:6 N:4,9.2e-07,9.6e-07,9.7e-07,1.04e-06
M:6 N:5,9.6e-07,1.08e-06,1.04e-06,1.18e-06
M:6 N:6,1.03e-06,1.1e-06,1.07e-06,1.06e-06
M:7 N:1,9.2e-07,9.2e-07,1e-06,9e-07
M:7 N:2,1.01e-06,9.7e-07,1.01e-06,1.05e-06
M:7 N:3,1.04e-06,1.09e-06,1.09e-06,9e-07
M:7 N:4,9.6e-07,1.08e-06,1.08e-06,1.11e-06
M:7 N:5,1.14e-06,1.17e-06,1.28e-06,1.19e-06
M:7 N:6,1.16e-06,1.17e-06,1.21e-06,1.18e-06
M:7 N:7,1.21e-06,1.28e-06,1.23e-06,1.17e-06
M:8 N:1,8.9e-07,9.1e-07,1.03e-06,9.5e-07
M:8 N:2,9e-07,1.01e-06,1.02e-06,1.05e-06
M:8 N:3,9.6e-07,1.09e-06,1.18e-06,1.15e-06
M:8 N:4,1.13e-06,1.09e-06,1.33e-06,1.31e-06
M:8 N:5,1.15e-06,1.16e-06,1.42e-06,1.32e-06
M:8 N:6,1.19e-06,1.24e-06,1.57e-06,1.4e-06
M:8 N:7,1.28e-06,1.35e-06,1.57e-06,1.51e-06
M:8 N:8,1.26e-06,1.22e-06,1.62e-06,1.38e-06
M:9 N:1,9.6e-07,9.6e-07,1e-06,1.04e-06
M:9 N:2,1.04e-06,1.03e-06,1.19e-06,1.17e-06
M:9 N:3,1.13e-06,1.26e-06,1.29e-06,1.34e-06
M:9 N:4,1.17e-06,1.17e-06,1.56e-06,1.44e-06
M:9 N:5,1.25e-06,1.37e-06,1.56e-06,1.68e-06
M:9 N:6,1.26e-06,1.3e-06,1.74e-06,1.64e-06
M:9 N:7,1.41e-06,1.66e-06,1.75e-06,1.78e-06
M:9 N:8,1.38e-06,1.47e-06,1.6e-06,1.66e-06
M:9 N:9,1.48e-06,1.59e-06,1.53e-06,1.67e-06
M:10 N:1,1.02e-06,1e-06,1.07e-06,1.05e-06
M:10 N:2,1.15e-06,1.22e-06,1.24e-06,1.35e-06
M:10 N:3,1.24e-06,1.29e-06,1.41e-06,1.4e-06
M:10 N:4,1.35e-06,1.34e-06,1.7e-06,1.7e-06
M:10 N:5,1.37e-06,1.54e-06,1.71e-06,1.85e-06
M:10 N:6,1.5e-06,1.56e-06,1.87e-06,1.86e-06
M:10 N:7,1.51e-06,1.72e-06,1.85e-06,2e-06
M:10 N:8,1.6e-06,1.91e-06,1.99e-06,1.96e-06
M:10 N:9,1.62e-06,1.9e-06,2.05e-06,2.11e-06
M:10 N:10,1.72e-06,1.84e-06,1.97e-06,1.85e-06
M:11 N:1,1.02e-06,1.14e-06,1.16e-06,1.25e-06
M:11 N:2,1.24e-06,1.26e-06,1.41e-06,1.41e-06
M:11 N:3,1.28e-06,1.39e-06,1.49e-06,1.5e-06
M:11 N:4,1.45e-06,1.5e-06,1.87e-06,1.85e-06
M:11 N:5,1.45e-06,1.7e-06,1.86e-06,1.84e-06
M:11 N:6,1.58e-06,1.62e-06,1.92e-06,2e-06
M:11 N:7,2.83e-06,1.8e-06,2e-06,2.1e-06
M:11 N:8,1.82e-06,1.89e-06,2.23e-06,2.26e-06
M:11 N:9,1.72e-06,2.14e-06,2.14e-06,2.34e-06
M:11 N:10,1.91e-06,2.03e-06,2.37e-06,1.9e-06
M:11 N:11,2.53e-06,2.07e-06,2.11e-06,2.1e-06
M:12 N:1,1.14e-06,1.2e-06,1.21e-06,1.32e-06
M:12 N:2,1.26e-06,1.33e-06,1.42e-06,1.45e-06
M:12 N:3,1.45e-06,1.6e-06,1.75e-06,1.66e-06
M:12 N:4,1.43e-06,1.48e-06,1.79e-06,1.81e-06
M:12 N:5,1.51e-06,1.79e-06,1.84e-06,2.01e-06
M:12 N:6,1.63e-06,1.79e-06,1.96e-06,2.09e-06
M:12 N:7,1.65e-06,2.02e-06,2.04e-06,2.24e-06
M:12 N:8,1.84e-06,2.25e-06,2.23e-06,2.33e-06
M:12 N:9,2.1e-06,2.23e-06,2.39e-06,2.36e-06
M:12 N:10,1.97e-06,2.24e-06,2.7e-06,2.7e-06
M:12 N:11,2.08e-06,2.3e-06,2.93e-06,2.72e-06
M:12 N:12,2.13e-06,2.4e-06,2.27e-06,2.35e-06
M:13 N:1,1.26e-06,1.24e-06,1.37e-06,1.43e-06
M:13 N:2,1.41e-06,1.48e-06,1.61e-06,1.7e-06
M:13 N:3,1.56e-06,1.62e-06,1.82e-06,1.85e-06
M:13 N:4,1.63e-06,1.74e-06,2.01e-06,2.1e-06
M:13 N:5,1.73e-06,2.23e-06,2.12e-06,2.27e-06
M:13 N:6,1.87e-06,1.99e-06,2.32e-06,2.44e-06
M:13 N:7,2.07e-06,2.39e-06,2.45e-06,2.61e-06
M:13 N:8,2.13e-06,2.43e-06,2.56e-06,2.47e-06
M:13 N:9,2.17e-06,2.82e-06,2.6e-06,2.67e-06
