Tick,RunF64,RunF32,RunI64,RunI32
M:1 N:1,1e-08,1e-08,1e-08,1e-08
M:2 N:1,2e-08,2e-08,2e-08,2e-08
M:2 N:2,2e-08,2e-08,2e-08,2e-08
M:3 N:1,3e-08,3e-08,3e-08,4e-08
M:3 N:2,4e-08,4e-08,4e-08,5e-08
M:3 N:3,5e-08,5e-08,5e-08,6e-08
M:4 N:1,5e-08,5e-08,6e-08,6e-08
M:4 N:2,7e-08,7e-08,7e-08,8e-08
M:4 N:3,8e-08,8e-08,8e-08,1e-07
M:4 N:4,1e-07,1e-07,9e-08,1.1e-07
M:5 N:1,8e-08,7e-08,9e-08,9e-08
M:5 N:2,1e-07,1e-07,1e-07,1.2e-07
M:5 N:3,1.2e-07,1.2e-07,1.3e-07,1.5e-07
M:5 N:4,1.6e-07,1.7e-07,1.5e-07,1.9e-07
M:5 N:5,1.9e-07,1.8e-07,1.8e-07,2.2e-07
M:6 N:1,1e-07,1e-07,1.3e-07,1.3e-07
M:6 N:2,1.4e-07,1.5e-07,1.4e-07,1.8e-07
M:6 N:3,1.9e-07,1.8e-07,1.7e-07,2.2e-07
M:6 N:4,2.2e-07,2.2e-07,2.2e-07,2.6e-07
M:6 N:5,3.4e-07,2.5e-07,3.8e-07,3e-07
M:6 N:6,2.9e-07,2.8e-07,2.8e-07,3.7e-07
M:7 N:1,1.4e-07,1.4e-07,1.8e-07,1.7e-07
M:7 N:2,2e-07,2e-07,1.9e-07,2.3e-07
M:7 N:3,2.5e-07,2.5e-07,2.4e-07,2.9e-07
M:7 N:4,2.9e-07,3e-07,3e-07,3.5e-07
M:7 N:5,3.9e-07,3.8e-07,3.4e-07,4.3e-07
M:7 N:6,4.2e-07,3.9e-07,4.1e-07,4.5e-07
M:7 N:7,4.3e-07,4.3e-07,4.2e-07,4.9e-07
M:8 N:1,1.8e-07,1.8e-07,2.4e-07,2.3e-07
M:8 N:2,2.6e-07,2.6e-07,2.5e-07,3.1e-07
M:8 N:3,3.3e-07,3.2e-07,3.2e-07,3.8e-07
M:8 N:4,3.8e-07,3.8e-07,3.9e-07,4.6e-07
M:8 N:5,4.3e-07,4.3e-07,4.6e-07,5.1e-07
M:8 N:6,5.1e-07,5.3e-07,4.9e-07,5.8e-07
M:8 N:7,5.6e-07,6.1e-07,5.3e-07,6.5e-07
M:8 N:8,6.3e-07,6.3e-07,6.1e-07,7.1e-07
M:9 N:1,2.2e-07,2.2e-07,3e-07,2.8e-07
M:9 N:2,3.2e-07,3.2e-07,3.2e-07,3.8e-07
M:9 N:3,3.9e-07,3.9e-07,4e-07,4.7e-07
M:9 N:4,4.8e-07,4.9e-07,4.8e-07,5.6e-07
M:9 N:5,5.5e-07,5.5e-07,5.5e-07,6.6e-07
M:9 N:6,6.3e-07,6.3e-07,6.2e-07,7.3e-07
M:9 N:7,7.3e-07,7.3e-07,7.1e-07,8.1e-07
M:9 N:8,7.9e-07,7.9e-07,7.5e-07,8.9e-07
M:9 N:9,8.8e-07,9.3e-07,8.2e-07,1.05e-06
M:10 N:1,2.7e-07,2.9e-07,3.4e-07,3.5e-07
M:10 N:2,3.9e-07,4.1e-07,4e-07,4.8e-07
M:10 N:3,5e-07,5.2e-07,4.9e-07,6e-07
M:10 N:4,6.1e-07,6.1e-07,6.1e-07,7.1e-07
M:10 N:5,7e-07,6.9e-07,7e-07,8.4e-07
M:10 N:6,7.9e-07,8.1e-07,8e-07,9.5e-07
M:10 N:7,9.9e-07,9.8e-07,8.9e-07,1.13e-06
M:10 N:8,1e-06,1.03e-06,1.04e-06,1.16e-06
M:10 N:9,1.14e-06,1.12e-06,1.07e-06,1.29e-06
M:10 N:10,1.39e-06,1.34e-06,1.26e-06,1.47e-06
M:11 N:1,3.5e-07,3.4e-07,4.9e-07,4.3e-07
M:11 N:2,4.8e-07,4.7e-07,4.8e-07,5.6e-07
M:11 N:3,6.5e-07,6.5e-07,6.1e-07,7.8e-07
M:11 N:4,7.3e-07,7.2e-07,7.6e-07,8.4e-07
M:11 N:5,8.3e-07,8.2e-07,8.2e-07,9.8e-07
M:11 N:6,1.01e-06,1.02e-06,9.2e-07,1.16e-06
M:11 N:7,1.13e-06,1.12e-06,1.12e-06,1.28e-06
M:11 N:8,1.2e-06,1.24e-06,1.18e-06,1.39e-06
M:11 N:9,1.44e-06,1.37e-06,1.21e-06,1.58e-06
M:11 N:10,1.66e-06,1.5e-06,1.38e-06,1.66e-06
M:11 N:11,1.63e-06,1.63e-06,1.47e-06,1.8e-06
M:12 N:1,3.9e-07,3.9e-07,5.3e-07,5e-07
M:12 N:2,5.6e-07,5.7e-07,5.8e-07,6.7e-07
M:12 N:3,6.9e-07,7e-07,7e-07,8.4e-07
M:12 N:4,8.6e-07,8.5e-07,8.5e-07,1e-06
M:12 N:5,9.7e-07,9.7e-07,9.7e-07,1.14e-06
M:12 N:6,1.2e-06,1.25e-06,1.09e-06,1.45e-06
M:12 N:7,1.72e-06,1.27e-06,1.5e-06,1.44e-06
M:12 N:8,1.59e-06,1.5e-06,1.32e-06,1.7e-06
M:12 N:9,1.66e-06,1.61e-06,1.5e-06,1.81e-06
M:12 N:10,1.78e-06,1.76e-06,1.74e-06,1.96e-06
M:12 N:11,1.93e-06,1.89e-06,1.76e-06,2.09e-06
M:12 N:12,2.07e-06,2.05e-06,1.86e-06,2.25e-06
M:13 N:1,4.6e-07,4.6e-07,6.1e-07,5.8e-07
M:13 N:2,6.5e-07,6.5e-07,7e-07,7.7e-07
M:13 N:3,8.2e-07,8.4e-07,8.4e-07,9.7e-07
M:13 N:4,1e-06,1e-06,9.9e-07,1.19e-06
M:13 N:5,1.15e-06,1.15e-06,1.14e-06,1.36e-06
M:13 N:6,1.31e-06,1.31e-06,1.26e-06,1.5e-06
M:13 N:7,1.58e-06,1.57e-06,1.47e-06,1.8e-06
M:13 N:8,1.71e-06,1.71e-06,1.63e-06,1.93e-06
M:13 N:9,1.9e-06,1.89e-06,1.78e-06,2.45e-06
M:13 N:10,2.23e-06,2.06e-06,1.89e-06,2.3e-06
M:13 N:11,2.26e-06,2.25e-06,2.07e-06,2.49e-06
M:13 N:12,2.56e-06,2.38e-06,2.18e-06,2.64e-06
M:13 N:13,2.63e-06,2.75e-06,2.37e-06,2.85e-06
M:14 N:1,5.4e-07,5.2e-07,7e-07,6.8e-07
M:14 N:2,8.3e-07,8.4e-07,8e-07,9.8e-07
M:14 N:3,9.4e-07,9.6e-07,1.02e-06,1.15e-06
M:14 N:4,1.16e-06,1.15e-06,1.18e-06,1.38e-06
M:14 N:5,1.37e-06,1.32e-06,1.33e-06,1.55e-06
M:14 N:6,1.51e-06,1.54e-06,1.49e-06,1.78e-06
M:14 N:7,1.79e-06,1.92e-06,1.64e-06,2.06e-06
M:14 N:8,1.99e-06,1.97e-06,1.87e-06,2.23e-06
M:14 N:9,2.17e-06,2.18e-06,2.04e-06,2.42e-06
M:14 N:10,2.43e-06,2.4e-06,2.2e-06,2.64e-06
M:14 N:11,2.63e-06,2.59e-06,2.37e-06,2.84e-06
M:14 N:12,2.94e-06,2.77e-06,2.58e-06,3.04e-06
